sheet_title,breakdown,scenario,series,unit,year,value
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Residential Sector,Net Annual Energy Demand (TWh),2042,61.51
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Residential Sector,Net Annual Energy Demand (TWh),2043,62.67
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Residential Sector,Net Annual Energy Demand (TWh),2044,64.1
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Residential Sector,Net Annual Energy Demand (TWh),2045,65.2
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Residential Sector,Net Annual Energy Demand (TWh),2046,66.59
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Residential Sector,Net Annual Energy Demand (TWh),2047,67.57
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Residential Sector,Net Annual Energy Demand (TWh),2048,69.03
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Residential Sector,Net Annual Energy Demand (TWh),2049,70.06
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Residential Sector,Net Annual Energy Demand (TWh),2050,71.32
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2027,52.93
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2028,54.43
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2029,55.66
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2030,57.26
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2031,58.37
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2032,58.81
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2033,58.98
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2034,58.88
